"","part_id","cond","betas","funcMask","anatROI"
"79",23,"GS2_V3",-7.33589129712847,"CSplusVsCSminus","aINS_space-EPI.nii"
"80",23,"CSminus_V4",-8.20738572220008,"CSplusVsCSminus","aINS_space-EPI.nii"
"81",24,"CSplus_V4",-1.84268406459027,"CSplusVsCSminus","aINS_space-EPI.nii"
"82",24,"GS1_V3",-3.57787996568614,"CSplusVsCSminus","aINS_space-EPI.nii"
"83",24,"GS2_V2",-2.6380889957274,"CSplusVsCSminus","aINS_space-EPI.nii"
"84",24,"CSminus_V1",1.38927319145865,"CSplusVsCSminus","aINS_space-EPI.nii"
"85",25,"CSplus_V4",2.76847455481688,"CSplusVsCSminus","aINS_space-EPI.nii"
"86",25,"GS1_V3",3.41593923873372,"CSplusVsCSminus","aINS_space-EPI.nii"
"87",25,"GS2_V2",-3.1039048361116,"CSplusVsCSminus","aINS_space-EPI.nii"
"88",25,"CSminus_V1",-2.02723543627395,"CSplusVsCSminus","aINS_space-EPI.nii"
"89",26,"CSplus_V1",8.31833312004805,"CSplusVsCSminus","aINS_space-EPI.nii"
"90",26,"GS1_V2",6.85126659936375,"CSplusVsCSminus","aINS_space-EPI.nii"
"91",26,"GS2_V3",-0.226746886339453,"CSplusVsCSminus","aINS_space-EPI.nii"
"92",26,"CSminus_V4",0.124576699203915,"CSplusVsCSminus","aINS_space-EPI.nii"
"93",27,"CSplus_V1",-2.0548006565041,"CSplusVsCSminus","aINS_space-EPI.nii"
"94",27,"GS1_V2",1.40591769629055,"CSplusVsCSminus","aINS_space-EPI.nii"
"95",27,"GS2_V3",1.52052304830816,"CSplusVsCSminus","aINS_space-EPI.nii"
"96",27,"CSminus_V4",1.57088562127617,"CSplusVsCSminus","aINS_space-EPI.nii"
"97",28,"CSplus_V4",-1.853586659299,"CSplusVsCSminus","aINS_space-EPI.nii"
"98",28,"GS1_V3",-2.05199745615323,"CSplusVsCSminus","aINS_space-EPI.nii"
"99",28,"GS2_V2",-3.00190752651956,"CSplusVsCSminus","aINS_space-EPI.nii"
"100",28,"CSminus_V1",-3.21054443763362,"CSplusVsCSminus","aINS_space-EPI.nii"
"101",30,"CSplus_V1",4.60391399261024,"CSplusVsCSminus","aINS_space-EPI.nii"
"102",30,"GS1_V2",4.88582106808821,"CSplusVsCSminus","aINS_space-EPI.nii"
"103",30,"GS2_V3",4.80565136482318,"CSplusVsCSminus","aINS_space-EPI.nii"
"104",30,"CSminus_V4",2.46121450000339,"CSplusVsCSminus","aINS_space-EPI.nii"
"105",31,"CSplus_V1",5.78419626077016,"CSplusVsCSminus","aINS_space-EPI.nii"
"106",31,"GS1_V2",4.27386619064543,"CSplusVsCSminus","aINS_space-EPI.nii"
"107",31,"GS2_V3",4.85256535636054,"CSplusVsCSminus","aINS_space-EPI.nii"
"108",31,"CSminus_V4",-1.06194475597805,"CSplusVsCSminus","aINS_space-EPI.nii"
